Stock,Trade_Date,direction,Entry_Price,Exit_Price,Exit_Type,Exit_Time,Gap,Gap_ATR,Alpha,ATR_14,Prev_Entropy_Norm,Stop_Loss,Raw_Ret_%,Net_Ret_%,PnL/Share,Is_Win,Trades_Today,Capital_Alloc,Shares,PnL_₹,Direction
ADANIGREEN,2020-01-15,1,189.15,189.15,time,2020-01-15 15:00:00,-9.949999999999989,-0.8969735994848671,0.8969735994848671,11.092857142857142,0.0,161.41785714285714,0.0,-0.14,0.0,False,3,33333.333333333336,176.0,-46.66666666666667,LONG
ADANIGREEN,2020-01-16,1,179.7,179.7,time,2020-01-16 15:00:00,-9.450000000000017,-0.8381374722838155,0.8381374722838155,11.274999999999997,0.0,151.5125,0.0,-0.14,0.0,False,2,50000.0,278.0,-70.0,LONG
ADANIGREEN,2020-01-20,-1,198.05,188.65,gap_fill,2020-01-20 10:45:00,9.400000000000006,0.8163771712158814,-0.8163771712158814,11.514285714285714,0.0,226.8357142857143,4.7463,4.6063,9.400000000000006,True,2,50000.0,252.0,2303.1380964402942,SHORT
ADANIGREEN,2020-02-07,-1,213.0,213.0,time,2020-02-07 15:00:00,6.049999999999983,0.5155203895313437,-0.5155203895313437,11.735714285714284,0.0,242.33928571428572,0.0,-0.14,0.0,False,1,100000.0,469.0,-140.0,SHORT
ADANIGREEN,2020-02-10,-1,218.85,213.0,gap_fill,2020-02-10 09:34:00,6.900000000000006,0.6056426332288407,-0.6056426332288407,11.39285714285714,0.0,247.33214285714286,2.6731,2.5331,5.849999999999994,True,1,100000.0,456.0,2533.063742289237,SHORT
ADANIGREEN,2020-02-27,1,166.35,163.0,time,2020-02-27 15:00:00,-6.25,-0.619030774672798,0.619030774672798,10.096428571428572,0.31225622080248244,141.10892857142858,-2.0138,-2.1538,-3.3499999999999943,False,1,100000.0,601.0,-2153.826269912831,LONG
ADANIGREEN,2020-03-09,1,137.7,137.7,time,2020-03-09 15:00:00,-7.200000000000017,-0.775384615384617,0.775384615384617,9.285714285714288,0.0,114.48571428571427,0.0,-0.14,0.0,False,2,50000.0,363.0,-70.0,LONG
ADANIGREEN,2020-03-11,1,133.05,130.85,time,2020-03-11 15:00:00,-6.599999999999994,-0.7287066246056774,0.7287066246056774,9.05714285714286,0.0,110.40714285714286,-1.6535,-1.7935,-2.200000000000017,False,1,100000.0,751.0,-1793.5137166478894,LONG
ADANIGREEN,2020-03-16,1,117.25,117.55,time,2020-03-16 15:00:00,-10.550000000000011,-1.1768924302788855,1.1768924302788855,8.964285714285717,0.33266503406783715,94.83928571428571,0.2559,0.1159,0.29999999999999716,True,2,50000.0,426.0,57.93176972281329,LONG
ADANIGREEN,2020-03-20,-1,141.0,142.35,time,2020-03-20 15:00:00,6.550000000000011,0.6949602122015925,-0.6949602122015925,9.425000000000002,0.13827560632839211,164.5625,-0.9574,-1.0974,-1.3499999999999943,False,1,100000.0,709.0,-1097.4468085106344,SHORT
ADANIGREEN,2020-03-24,1,136.55,135.25,gap_fill,2020-03-24 09:20:00,-6.75,-0.7569082899479372,0.7569082899479372,8.917857142857146,0.0,114.25535714285715,-0.952,-1.092,-1.3000000000000114,False,1,100000.0,732.0,-1092.0322226290818,LONG
ADANIGREEN,2020-04-13,-1,178.0,174.75,gap_fill,2020-04-13 09:27:00,5.25,0.5812574139976273,-0.5812574139976273,9.03214285714286,0.03731262813959566,200.58035714285714,1.8258,1.6858,3.25,True,2,50000.0,280.0,842.9213483146068,SHORT
ADANIGREEN,2020-06-03,-1,287.4,284.45,time,2020-06-03 15:00:00,13.649999999999977,1.421874999999998,-1.421874999999998,9.599999999999998,0.0,311.4,1.0264,0.8864,2.9499999999999886,True,3,33333.333333333336,115.0,295.4813268383193,SHORT
ADANIGREEN,2020-06-10,-1,328.2,328.2,time,2020-06-10 15:00:00,15.599999999999966,1.2624277456647368,-1.2624277456647368,12.35714285714286,0.0,359.09285714285716,0.0,-0.14,0.0,False,1,100000.0,304.0,-140.0,SHORT
ADANIGREEN,2020-06-11,-1,336.95,328.2,gap_fill,2020-06-11 14:19:00,16.400000000000034,1.272374619008038,-1.272374619008038,12.889285714285714,0.0,369.17321428571427,2.5968,2.4568,8.75,True,1,100000.0,296.0,2456.8244546668648,SHORT
ADANIGREEN,2020-06-18,-1,400.65,400.65,time,2020-06-18 15:00:00,19.049999999999955,1.1351351351351318,-1.1351351351351318,16.782142857142865,0.0,442.60535714285714,0.0,-0.14,0.0,False,1,100000.0,249.0,-140.0,SHORT
ADANIGREEN,2020-06-19,-1,420.65,420.65,time,2020-06-19 15:00:00,19.30000000000001,1.0799360511590732,-1.0799360511590732,17.871428571428574,0.0,465.3285714285714,0.0,-0.14,0.0,False,1,100000.0,237.0,-140.0,SHORT
ADANIGREEN,2020-06-22,-1,441.65,441.65,time,2020-06-22 15:00:00,21.0,1.147540983606557,-1.147540983606557,18.300000000000004,0.0,487.4,0.0,-0.14,0.0,False,2,50000.0,113.0,-70.0,SHORT
ADANIGREEN,2020-06-23,-1,463.7,463.7,time,2020-06-23 15:00:00,22.05000000000001,1.1673284174702216,-1.1673284174702216,18.889285714285716,0.0,510.92321428571427,0.0,-0.14,0.0,False,1,100000.0,215.0,-140.0,SHORT
